"","extent","id","area","x","y","lgn.1","lgn.2","lgn.3","lgn.4","lgn.5","lat.1","lat.2","lat.3","lat.4","lat.5","JulesMean","JulesSD","BioMean","BioSD","VisitsMean","VisitsSD"
"1","Blackdown Hills",254166,107029.793192227,-3.3406845098787,50.7423914147449,-3.3406845098787,-3.3406845098787,-3.32651461684355,-3.32651461684355,-3.3406845098787,50.7423914147449,50.7513798491855,50.7513798491855,50.7423914147449,50.7423914147449,16.0612795251675,1.67447402766709,39.9510306165822,1.1136137557677,26,2.51209345884885
"2","Blackdown Hills",247908,11182.7326730327,-3.42733435000463,50.7953215835477,-3.42733435000463,-3.42733435000463,-3.4131484535216,-3.4131484535216,-3.42733435000463,50.7953215835477,50.8043099343437,50.8043099343437,50.7953215835477,50.7953215835477,12.2146496380324,1.7130130386937,42.0336450606443,0.922827067381676,48,3.0619936719615
"3","Blackdown Hills",247907,12557.0707319989,-3.42760833235604,50.8043113361523,-3.42760833235604,-3.42760833235604,-3.41341971301272,-3.41341971301272,-3.42760833235604,50.8043113361523,50.8132996727446,50.8132996727446,50.8043113361523,50.8043113361523,12.5710136346575,1.79298701223539,42.3199311170774,1.07359181821843,36,2.68572508273207
"4","Blackdown Hills",259364,70621.0835266786,-3.27276809888089,50.8510686554949,-3.27276809888089,-3.27276809888089,-3.2585652948825,-3.2585652948825,-3.27276809888089,50.8510686554949,50.8600569182246,50.8600569182246,50.8510686554949,50.8510686554949,14.885193609807,1.63785162544218,39.0295468210343,1.17086705090023,9,2.2438985840202
"5","Blackdown Hills",260406,393989.744081312,-3.2585662051058,50.8512227241786,-3.2585662051058,-3.2585662051058,-3.24436335430529,-3.24436335430529,-3.2585662051058,50.8512227241786,50.860210986665,50.860210986665,50.8512227241786,50.8512227241786,15.2524331307729,1.32843227478678,34.5896471043971,1.02354622395924,11,2.06432455599048
"6","Blackdown Hills",261448,2.22546783722646,-3.24436418737004,50.8513750650355,-3.24436418737004,-3.24436418737004,-3.23016129029189,-3.23016129029189,-3.24436418737004,50.8513750650355,50.8603633272813,50.8603633272813,50.8513750650355,50.8513750650355,19.4189515057948,1.69153626557861,41.9615062025366,0.970574927422996,31,3.33865529880657
"7","Blackdown Hills",258321,42217.8423123762,-3.28721740517517,50.8599030479555,-3.28721740517517,-3.28721740517517,-3.27301191684923,-3.27301191684923,-3.28721740517517,50.8599030479555,50.868891296732,50.868891296732,50.8599030479555,50.8599030479555,14.5489649663636,1.341171233147,44.3038701487453,0.973638015526274,13,2.27548615007626
"8","Blackdown Hills",259363,1090.34304616181,-3.27301290753864,50.8600588940483,-3.27301290753864,-3.27301290753864,-3.25880737184674,-3.25880737184674,-3.27301290753864,50.8600588940483,50.8690471425786,50.8690471425786,50.8600588940483,50.8600588940483,19.2353383025179,1.68451696552019,47.3115757207402,0.93599985848097,42,3.95384410606995
"9","Blackdown Hills",260405,363978.341894098,-3.2588082844606,50.8602130118001,-3.2588082844606,-3.2588082844606,-3.24460270192761,-3.24460270192761,-3.2588082844606,50.8602130118001,50.8692012600871,50.8692012600871,50.8602130118001,50.8602130118001,15.2833307410422,1.57731896664073,39.8416252293685,1.14686356281906,9,2.64215576173308
"10","Blackdown Hills",261447,145077.884880809,-3.24460353733856,50.8603654011753,-3.24460353733856,-3.24460353733856,-3.23039790848939,-3.23039790848939,-3.24460353733856,50.8603654011753,50.8693536492215,50.8693536492215,50.8603654011753,50.8603654011753,16.9403057985871,1.34359798144581,46.5325717489074,0.995792366069056,43,3.70214344614227
"11","Blackdown Hills",267699,104359.452187007,-3.15937252795276,50.8612434395581,-3.15937252795276,-3.15937252795276,-3.14516663223077,-3.14516663223077,-3.15937252795276,50.8612434395581,50.8702316862176,50.8702316862176,50.8612434395581,50.8612434395581,17.2146688040953,1.90041432467201,42.8030114039563,1.14731187335281,76,3.69490041438552
"12","Blackdown Hills",258320,305446.478425736,-3.28746506989066,50.8688932220775,-3.28746506989066,-3.28746506989066,-3.27325684851097,-3.27325684851097,-3.28746506989066,50.8688932220775,50.8778814566554,50.8778814566554,50.8688932220775,50.8688932220775,14.3567156058394,1.33226341238202,41.0018794164589,0.992108857685445,32,2.91430309108998
"13","Blackdown Hills",259362,47922.822701219,-3.27325784163802,50.8690491178073,-3.27325784163802,-3.27325784163802,-3.25904957285292,-3.25904957285292,-3.27325784163802,50.8690491178073,50.8780373521391,50.8780373521391,50.8690491178073,50.8690491178073,15.8209922617816,1.39812373455623,35.1370272412888,1.22369459960311,43,2.63852243636737
"14","Blackdown Hills",270820,44490.2448062776,-3.11783102382552,50.9066126441592,-3.11783102382552,-3.11783102382552,-3.1036113202445,-3.1036113202445,-3.11783102382552,50.9066126441592,50.9156008191745,50.9156008191745,50.9066126441592,50.9066126441592,17.896601551441,1.18880839500333,38.1787125282351,0.893053705769189,18,2.73955956247694
"15","Blackdown Hills",271862,207408.657981917,-3.10361144130963,50.9067479632176,-3.10361144130963,-3.10361144130963,-3.08939169649142,-3.08939169649142,-3.10361144130963,50.9067479632176,50.9157361380192,50.9157361380192,50.9067479632176,50.9067479632176,17.4742737627024,1.30097927341316,37.1598987012327,0.998187262227078,32,2.51395575019291
"16","Blackdown Hills",272904,963.732265279861,-3.08939174976122,50.9068815507773,-3.08939174976122,-3.08939174976122,-3.07517196423316,-3.07517196423316,-3.08939174976122,50.9068815507773,50.9158697253679,50.9158697253679,50.9068815507773,50.9068815507773,19.1348118961303,1.50759994810665,43.5299459247418,0.897598195323246,39,3.18825109122364
"17","Blackdown Hills",270819,115528.66460806,-3.1180464672231,50.9156033046222,-3.1180464672231,-3.1180464672231,-3.10382402312937,-3.10382402312937,-3.1180464672231,50.9156033046222,50.9245914654424,50.9245914654424,50.9156033046222,50.9156033046222,19.3320261870028,1.4561340429361,39.517024020322,0.902150860834997,5,2.7851108377907
"18","Blackdown Hills",271861,351689.616172538,-3.10382414613518,50.9157386667968,-3.10382414613518,-3.10382414613518,-3.08960166076989,-3.08960166076989,-3.10382414613518,50.9157386667968,50.9247268274033,50.9247268274033,50.9157386667968,50.9157386667968,16.7182547592683,1.23765991546501,39.7739233548865,1.08036429529956,62,2.30527374177467
"19","Blackdown Hills",260398,46764.8005345888,-3.26050631785575,50.9231446114574,-3.26050631785575,-3.26050631785575,-3.24628157395052,-3.24628157395052,-3.26050631785575,50.9231446114574,50.9321327603715,50.9321327603715,50.9231446114574,50.9231446114574,14.7331972206133,1.35755039183093,38.9068381736811,0.953362021182325,17,2.546607764407
"20","Blackdown Hills",273944,1128.37953769602,-3.07558651180566,50.9249949685744,-3.07558651180566,-3.07558651180566,-3.0613612034603,-3.0613612034603,-3.07558651180566,50.9249949685744,50.9339831145673,50.9339831145673,50.9249949685744,50.9249949685744,16.6368790691099,1.28421370602849,40.8940633304231,0.918180446546501,58,2.66413283533142
"21","Blackdown Hills",274986,92916.1554897428,-3.06136112741846,50.9251251759832,-3.06136112741846,-3.06136112741846,-3.04713577935187,-3.04713577935187,-3.06136112741846,50.9251251759832,50.9341133217705,50.9341133217705,50.9251251759832,50.9251251759832,16.3812508102564,1.4279788278595,33.4656594220611,1.06288038874273,40,2.69827003815918
"22","Blackdown Hills",259355,3748.38255515974,-3.27497589979441,50.9319802699106,-3.27497589979441,-3.27497589979441,-3.26074846008673,-3.26074846008673,-3.27497589979441,50.9319802699106,50.9409684048759,50.9409684048759,50.9319802699106,50.9319802699106,15.4387322749235,1.43157156786641,40.2581911020541,1.07997969802154,28,2.06817328091314
"23","Blackdown Hills",260397,439841.104110445,-3.26074939190329,50.9321347808853,-3.26074939190329,-3.26074939190329,-3.24652190504142,-3.24652190504142,-3.26074939190329,50.9321347808853,50.9411229156066,50.9411229156066,50.9321347808853,50.9321347808853,14.1310772503008,1.51701549901477,42.6366926901152,1.03248457270349,37,2.68514084044647
"24","Blackdown Hills",261439,129295.95954212,-3.24652275929871,50.9322875590758,-3.24652275929871,-3.24652275929871,-3.23229522581107,-3.23229522581107,-3.24652275929871,50.9322875590758,50.9412756935559,50.9412756935559,50.9322875590758,50.9322875590758,14.4720085415328,1.518916509977,41.3546763670879,0.798093231312109,65,3.55977465556332
"25","Blackdown Hills",270817,89929.9327070401,-3.11847768562276,50.9335845817599,-3.11847768562276,-3.11847768562276,-3.10424975628546,-3.10424975628546,-3.11847768562276,50.9335845817599,50.9425727141925,50.9425727141925,50.9335845817599,50.9335845817599,18.8901275184138,1.43054852397892,42.9363205043022,0.810103245429797,48,3.09402323871064
