"","extent","id","lgn.1","lgn.2","lgn.3","lgn.4","lgn.5","lat.1","lat.2","lat.3","lat.4","lat.5"
"361","Kent North Downs",568795,0.969173914439049,0.969173914439049,0.983485951409821,0.983485951409821,0.969173914439049,51.2070032865956,51.2159909877838,51.2159909877838,51.2070032865956,51.2070032865956
"523","Manchester",337220,-2.22006342843444,-2.22006342843444,-2.20499035569511,-2.20499035569511,-2.22006342843444,53.5009929077522,53.5099770255492,53.5099770255492,53.5009929077522,53.5009929077522
"524","Manchester",338262,-2.20498805792046,-2.20498805792046,-2.1899149756601,-2.1899149756601,-2.20498805792046,53.5010197420385,53.5100038597939,53.5100038597939,53.5010197420385,53.5010197420385
"525","Manchester",328883,-2.34073747178603,-2.34073747178603,-2.32566130958605,-2.32566130958605,-2.34073747178603,53.5096980328402,53.5186821371724,53.5186821371724,53.5096980328402,53.5096980328402
"529","Manchester",328882,-2.34080963866698,-2.34080963866698,-2.32573028483556,-2.32573028483556,-2.34080963866698,53.5186862574144,53.5276703478451,53.5276703478451,53.5186862574144,53.5186862574144
"533","Manchester",328881,-2.34088184447614,-2.34088184447614,-2.32579929729131,-2.32579929729131,-2.34088184447614,53.5276744683174,53.5366585448477,53.5366585448477,53.5276744683174,53.5276744683174
"536","Manchester",328880,-2.34095408924176,-2.34095408924176,-2.32586834698029,-2.32586834698029,-2.34095408924176,53.5366626655503,53.5456467281815,53.5456467281815,53.5366626655503,53.5366626655503
"625","Claife",287108,-2.9632897154247,-2.9632897154247,-2.94790373266251,-2.94790373266251,-2.9632897154247,54.3601745966876,54.36915739105,54.36915739105,54.3601745966876,54.3601745966876
"633","Cogra Moss",258952,-3.38532768497257,-3.38532768497257,-3.3698688925758,-3.3698688925758,-3.38532768497257,54.5537994666507,54.5627819643635,54.5627819643635,54.5537994666507,54.5537994666507
"636","Cogra Moss",258951,-3.38563233832635,-3.38563233832635,-3.37017014649247,-3.37017014649247,-3.38563233832635,54.5627836492729,54.571766133236,54.571766133236,54.5627836492729,54.5627836492729
"638","Cogra Moss",258950,-3.38593715967546,-3.38593715967546,-3.37047156653002,-3.37047156653002,-3.38593715967546,54.5717678173105,54.5807502875252,54.5807502875252,54.5717678173105,54.5717678173105
"673","Stonedown & Vernditch",351048,-2.02273345035513,-2.02273345035513,-2.00849564336362,-2.00849564336362,-2.02273345035513,50.9659181011616,50.9749061825566,50.9749061825566,50.9659181011616,50.9659181011616
"675","Stonedown & Vernditch",352089,-2.00849480301132,-2.00849480301132,-1.99425424509889,-1.99425424509889,-2.00849480301132,50.9749123196682,50.9839003868679,50.9839003868679,50.9749123196682,50.9749123196682
"676","Stonedown & Vernditch",356257,-1.95152245387553,-1.95152245387553,-1.93728189890623,-1.93728189890623,-1.95152245387553,50.9749026994869,50.9838907667018,50.9838907667018,50.9749026994869,50.9749026994869
"679","Stonedown & Vernditch",355214,-1.96575897579853,-1.96575897579853,-1.95151566755598,-1.95151566755598,-1.96575897579853,50.9838999767055,50.9928880297211,50.9928880297211,50.9838999767055,50.9838999767055
"680","Stonedown & Vernditch",356256,-1.95151314083586,-1.95151314083586,-1.93726983412729,-1.93726983412729,-1.95151314083586,50.9838949651856,50.9928830182092,50.9928830182092,50.9838949651856,50.9838949651856
"681","Stonedown & Vernditch",357298,-1.93726731065916,-1.93726731065916,-1.92302400601629,-1.92302400601629,-1.93726731065916,50.9838882165297,50.9928762695639,50.9928762695639,50.9838882165297,50.9838882165297
"682","Stonedown & Vernditch",355213,-1.96575241070829,-1.96575241070829,-1.95150634931149,-1.95150634931149,-1.96575241070829,50.9928922300675,51.0018802688926,51.0018802688926,50.9928922300675,50.9928922300675
"683","Stonedown & Vernditch",356255,-1.95150382301034,-1.95150382301034,-1.9372577631488,-1.9372577631488,-1.95150382301034,50.9928872169483,51.0018752557813,51.0018752557813,50.9928872169483,50.9928872169483
"775","West Harting Down",429201,-0.955405527930288,-0.955405527930288,-0.941177388224996,-0.941177388224996,-0.955405527930288,50.9342738246029,50.9432619559474,50.9432619559474,50.9342738246029,50.9342738246029
"776","West Harting Down",430243,-0.9411772732423,-0.9411772732423,-0.926949172640926,-0.926949172640926,-0.9411772732423,50.9341457078584,50.9431338394051,50.9431338394051,50.9341457078584,50.9341457078584
"777","West Harting Down",429200,-0.955204098763137,-0.955204098763137,-0.94097321414978,-0.94097321414978,-0.955204098763137,50.9432646607518,50.9522527779035,50.9522527779035,50.9432646607518,50.9432646607518
"778","West Harting Down",430242,-0.940973100983586,-0.940973100983586,-0.926742255506745,-0.926742255506745,-0.940973100983586,50.9431365031745,50.9521246205285,50.9521246205285,50.9431365031745,50.9431365031745
"779","West Harting Down",431284,-0.926742207990166,-0.926742207990166,-0.912511402179016,-0.912511402179016,-0.926742207990166,50.9430066117921,50.9519947293512,50.9519947293512,50.9430066117921,50.9430066117921
"780","West Harting Down",432326,-0.912511421189897,-0.912511421189897,-0.898280655573589,-0.898280655573589,-0.912511421189897,50.9428749866351,50.9518631044019,50.9518631044019,50.9428749866351,50.9428749866351
"781","West Harting Down",430241,-0.940768823938846,-0.940768823938846,-0.926535232177829,-0.926535232177829,-0.940768823938846,50.9521272839646,50.9611153871267,50.9611153871267,50.9521272839646,50.9521272839646
"782","West Harting Down",431283,-0.926535186517411,-0.926535186517411,-0.912301634455157,-0.912301634455157,-0.926535186517411,50.9519973511814,50.9609854545486,50.9609854545486,50.9519973511814,50.9519973511814
"783","West Harting Down",432325,-0.912301655360709,-0.912301655360709,-0.89806814352681,-0.89806814352681,-0.912301655360709,50.9518656840711,50.9608537876462,50.9608537876462,50.9518656840711,50.9518656840711
"784","West Harting Down",431282,-0.926328058780032,-0.926328058780032,-0.912091759057044,-0.912091759057044,-0.926328058780032,50.9609880760292,50.9699761652054,50.9699761652054,50.9609880760292,50.9609880760292
"785","West Harting Down",432324,-0.912091781858996,-0.912091781858996,-0.897855522397909,-0.897855522397909,-0.912091781858996,50.9608563669496,50.9698444563337,50.9698444563337,50.9608563669496,50.9608563669496
"802","Hethfelton",336491,-2.22077704393924,-2.22077704393924,-2.20662386397049,-2.20662386397049,-2.22077704393924,50.6869431116601,50.6959316337542,50.6959316337542,50.6869431116601,50.6869431116601
"803","Hethfelton",337533,-2.20662141416192,-2.20662141416192,-2.19246822637403,-2.19246822637403,-2.20662141416192,50.6869690939354,50.6959576159884,50.6959576159884,50.6869690939354,50.6869690939354
"804","Hethfelton",338575,-2.19246576418469,-2.19246576418469,-2.17831256909495,-2.17831256909495,-2.19246576418469,50.6869933572758,50.6959818792905,50.6959818792905,50.6869933572758,50.6869933572758
"834","Hardknott",272518,-3.17919848464015,-3.17919848464015,-3.16380649608807,-3.16380649608807,-3.17919848464015,54.3762333152323,54.3852160849684,54.3852160849684,54.3762333152323,54.3762333152323
"836","Hardknott",271475,-3.19485048535421,-3.19485048535421,-3.17945519054479,-3.17945519054479,-3.19485048535421,54.3850670865949,54.3940498427859,54.3940498427859,54.3850670865949,54.3850670865949
"837","Hardknott",272517,-3.17945613119829,-3.17945613119829,-3.16406077970756,-3.16406077970756,-3.17945613119829,54.3852184879564,54.3942012439153,54.3942012439153,54.3852184879564,54.3852184879564
"838","Hardknott",271474,-3.19511163543203,-3.19511163543203,-3.17971297588642,-3.17971297588642,-3.19511163543203,54.3940521951637,54.4030349375789,54.4030349375789,54.3940521951637,54.3940521951637
"839","Hardknott",272516,-3.17971391929261,-3.17971391929261,-3.16431520301579,-3.16431520301579,-3.17971391929261,54.3942036463874,54.4031863885705,54.4031863885705,54.3942036463874,54.3942036463874
"1101","Grovely",356244,-1.9514010101368,-1.9514010101368,-1.93712457201572,-1.93712457201572,-1.9514010101368,51.0918010668453,51.1007889496393,51.1007889496393,51.0918010668453,51.0918010668453
"1102","Grovely",353117,-1.99423683672755,-1.99423683672755,-1.97995762537496,-1.97995762537496,-1.99423683672755,51.1008030154641,51.1097908840623,51.1097908840623,51.1008030154641,51.1008030154641
"1103","Grovely",354159,-1.97995510024248,-1.97995510024248,-1.96567588936556,-1.96567588936556,-1.97995510024248,51.1008014718159,51.1097893404166,51.1097893404166,51.1008014718159,51.1008014718159
"1104","Grovely",355201,-1.96567336573409,-1.96567336573409,-1.95139415587037,-1.95139415587037,-1.96567336573409,51.100798183812,51.1097860524179,51.1097860524179,51.100798183812,51.100798183812
"1105","Grovely",356243,-1.95139163462814,-1.95139163462814,-1.93711242631514,-1.93711242631514,-1.95139163462814,51.1007931514532,51.109781020067,51.109781020067,51.1007931514532,51.1007931514532
"1106","Grovely",357285,-1.93710990835038,-1.93710990835038,-1.92283070212563,-1.92283070212563,-1.93710990835038,51.1007863747407,51.1097742433651,51.1097742433651,51.1007863747407,51.1007863747407
"1200","Heckbarley and Crag",256873,-3.414685887754,-3.414685887754,-3.39924419930424,-3.39924419930424,-3.414685887754,54.5085209129541,54.5175034799829,54.5175034799829,54.5085209129541,54.5085209129541
"1201","Heckbarley and Crag",257915,-3.39924649530109,-3.39924649530109,-3.38380473906524,-3.38380473906524,-3.39924649530109,54.5087006092345,54.5176831759882,54.5176831759882,54.5087006092345,54.5087006092345
"1202","Heckbarley and Crag",258957,-3.38380693374222,-3.38380693374222,-3.36836511046297,-3.36836511046297,-3.38380693374222,54.5088783347468,54.5178609012283,54.5178609012283,54.5088783347468,54.5088783347468
"1213","Howgill & Messengermire",268316,-3.25006274302564,-3.25006274302564,-3.23455560781149,-3.23455560781149,-3.25006274302564,54.681097038829,54.6900793418452,54.6900793418452,54.681097038829,54.681097038829
"1216","Howgill & Messengermire",268315,-3.25033895544288,-3.25033895544288,-3.23482839390789,-3.23482839390789,-3.25033895544288,54.6900815197889,54.6990638090738,54.6990638090738,54.6900815197889,54.6900815197889
